Part No,Description,# Models,Fits these models
06435-KRE-G32,"PAD SET, RR.",1,CB190XN
06435-KSP-B01,"PAD SET, RR.",4,"CBF150MB, CBF150MC, CBF150MD, CBF160MG"
06435-KSP-B02,"PAD SET, RR",13,"CB190XN, CBF160FSM, CBF160FSN, CBF160MAJ, CBF160MAK, CBF160MH, CBF160MJ, CBF190MAL, CBF190MAM, CBF190MAN, CBF300NAK, CBF300NAN, CBF300NAR"
06435-KYJ-711,"PAD SET, RR.",6,"CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
06435-KYJ-901,"PAD SET, RR.",6,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ"
06435-MEJ-026,"PAD SET, RR.",9,"CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06435-MGZ-J01,"PAD SET, RR.",3,"CBR650FAG, CBR650FAJ, CBR650RAL"
06435-MGZ-J02,"PAD SET, RR.",5,"CB500XAM, CB650RAM, CB650RAN, CBR650RAM, CBR650RAN"
06436-KYJ-711,"PIN SET, HANGER",6,"CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
06436-MCT-016,"PAD SET, PARKING BRAKE",6,"CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06440-KFN-850,"SPOKE SET A, FR.(OUTSIDE)",6,"CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7"
06440-MJP-G51,"SPOKE SET, FR.",1,CRF1000DH
06440-MKK-D00,"SPOKE SET, FR.",2,"CRF1000DJ, CRF1000DK"
06440-MKS-E20,"SPOKE SET, FR.",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06441-KFN-850,"SPOKE SET B, FR.(INSIDE)",6,"CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7"
06447-KVT-900,"TUBE SET, TUFF UP",1,SCV100G8
06451-443-405,"SEAL SET, PISTON",23,"CB500XAM, CB650RAM, CB650RAN, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR650FAG, CBR650FAJ, CBR650RAL, CBR650RAM, CBR650RAN, CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06451-961-405,"SEAL SET, PISTON",40,"CB190XN, CB190XR, CB190XS, CBF110SBEN, CBF110SBER, CBF110SBES, CBF125MEFS, CBF125MEFT, CBF125MEN, CBF125MEP, CBF125MER, CBF125N, CBF125P, CBF125S, CBF125T, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ, CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS, CBF300NAK, CBF300NAN, CBF300NAR, SCV125FP, SCV125L, SCV125N, SCV125S, SCV125SBR, SCV125SBT, SCV125SL, SCV125SM, SCV125SN, SCV125SR, SCV125ST, SCV125T"
06451-GE2-405,"SEAL SET, PISTON",60,"CB190XN, CB190XR, CB190XS, CBF110SG, CBF110SJ, CBF125BH, CBF125CC, CBF125F, CBF125H, CBF125J/K, CBF125MCC, CBF125MG, CBF125MH, CBF125MJ/MK, CBF150MC, CBF150MD, CBF150MH, CBF150MK, CBF160AL, CBF160AR, CBF160F, CBF160FSJ, CBF160FSK, CBF160FSM, CBF160FSR, CBF160FSS, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ, CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS, CBF300NAK, CBF300NAN, CBF300NAR, CBR150RC, CBR150RG, CBR650FAG, CBR650FAJ, MC300AN, MC300AP, MC300AS, SCV110GA, SCV110GC, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
06451-K1C-D61,"SEAL SET, PISTON",3,"CBF110SBL, CBF110SBN, CBF125N"
06451-K1K-D41,"SEAL SET, PISTON",1,CBF125ZT
06451-KCC-841,"SEAL SET, PISTON",26,"CBF110MA, CBF110MC, CBF110ME, CBF110MSE, CBF1256, CBF1259, CBF125A, CBF125C9, CBF125CA, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MB, CBF125MC, CBF125MC9, CBF125MCA, CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7, CBF150M9, CBF150MA, CBF150MB, SCV100G8"
06451-KYJ-711,"SEAL SET, PISTON(32)",5,"CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH"
06451-MA7-405,"SEAL SET, PISTON",25,"CB350CR, CB350CS, CB350CSR, CB350CSS, CB350CST, CB350CT, CB350DM, CB350DP, CB350DSM, CB350DSN, CB350DSP/DSR, CB350RSM, CB350RSP/RSR, CBF150MB, CBF150MC, CBF150MD, CBF160FSM, CBF160FSN, CBF160FSR, CBF160FSS, CBR150RC, CBR150RG, MC300AN, MC300AP, MC300AS"
06451-MAK-003,"SEAL SET, PISTON",5,"CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
06451-MCZ-006,"SEAL SET, PISTON",14,"CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN, CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06451-MZ2-405,"SEAL SET, PISTON",32,"CBF110SBK, CBF110SBL, CBF125BH, CBF125CL, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125L3, CBF125MG, CBF125MH, CBF125MJ/MK, CBF125ML, CBF125MN, CBF150MD, CBF160F, CBF160G, CBF160H, CBF160MG, CBF160MH, CBF160MJ, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, SCV110GA, SCV110GC, SCV110GFD, SCV110GFF, SCV125E, SCV125G"
06452-MAK-003,"SEAL SET, PISTON",6,"CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
06452-MCZ-006,"SEAL SET, PISTON",14,"CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN, CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06453-K1C-D61,"BRACKET SUB ASSY., R. FR.",3,"CBF110SBL, CBF110SBN, CBF125N"
06453-K1K-D41,"BRACKET SUB ASSY., R. FR.",1,CBF125ZT
06453-K21-921,"BRACKET SUB ASSY., R. FR.",8,"CBF125BH, CBF125F, CBF125H, CBF125MG, CBF150MD, CBF160F, CBF160G, CBF160H"
06453-K67-951,"BRACKET SUB ASSY., R. FR.",10,"CBF110SBK, CBF110SBL, CBF125CL, CBF125J/K, CBF125L, CBF125L3, CBF125MH, CBF125MJ/MK, CBF125ML, CBF125MN"
06453-MCW-H01,"BRACKET SUB ASSY., R. FR.",3,"CBF160MG, CBF160MH, CBF160MJ"
06455-K0L-D71,"PAD SET, FR. BRAKE",8,"SCV125FP, SCV125N, SCV125S, SCV125SBR, SCV125SBT, SCV125SR, SCV125ST, SCV125T"
06455-K0V-AG1,"PAD SET, FR. BRAKE",12,"CBF110SBEN, CBF110SBER, CBF110SBES, CBF125MEFS, CBF125MEFT, CBF125MEN, CBF125MEP, CBF125MER, CBF125N, CBF125P, CBF125S, CBF125T"
06455-K1C-D61,"PAD SET, FR.",3,"CBF110SBL, CBF110SBN, CBF125N"
06455-K1K-D41,"PAD SET, FR.",1,CBF125ZT
06455-K20-911,"PAD SET, FR.",4,"SCV110GFD, SCV110GFF, SCV125E, SCV125G"
06455-K21-921,"PAD SET, FR.",6,"CBF125F, CBF125MG, CBF150MD, CBF160F, CBF160G, CBF160H"
06455-K21-922,"PAD SET, FR.",2,"CBF125BH, CBF125H"
06455-K31-902,PAD SET,16,"CB350CR, CB350CS, CB350CSR, CB350CSS, CB350CST, CB350CT, CB350DM, CB350DP, CB350DSM, CB350DSN, CB350DSP/DSR, CB350RSM, CB350RSP/RSR, MC300AN, MC300AP, MC300AS"
06455-K33-D52,"PAD SET, FR.",1,CBR250RAJ
06455-K43-911,"PAD SET, FR.",3,"CBF160MG, CBF160MH, CBF160MJ"
06455-K67-951,"PAD SET, FR.",10,"CBF110SBK, CBF110SBL, CBF125CL, CBF125J/K, CBF125L, CBF125L3, CBF125MH, CBF125MJ/MK, CBF125ML, CBF125MN"
06455-K94-T01,"PAD SET, FR.",3,"CBF300NAK, CBF300NAN, CBF300NAR"
06455-KCC-841,"PAD SET, FR.",4,"CBF1256, CBF125M7, CBF1505, CBF150M5"
